dataset_id,L,Vf,rate,seed,source,result_dir
192,34,3.8,0.50,4234001,reused_original_rigorous,raw/rigorous/task_0432_L34_V3.80_R0.5_s4234001
193,34,3.8,0.50,4234002,reused_original_rigorous,raw/rigorous/task_0433_L34_V3.80_R0.5_s4234002
194,34,3.8,0.50,4234003,reused_original_rigorous,raw/rigorous/task_0434_L34_V3.80_R0.5_s4234003
195,34,3.8,0.50,4234004,reused_original_rigorous,raw/rigorous/task_0435_L34_V3.80_R0.5_s4234004
196,34,3.8,0.50,4234005,reused_original_rigorous,raw/rigorous/task_0436_L34_V3.80_R0.5_s4234005
197,34,3.8,0.50,4234006,reused_original_rigorous,raw/rigorous/task_0437_L34_V3.80_R0.5_s4234006
198,34,3.8,0.50,4234007,reused_original_rigorous,raw/rigorous/task_0438_L34_V3.80_R0.5_s4234007
199,34,3.8,0.50,4234008,reused_original_rigorous,raw/rigorous/task_0439_L34_V3.80_R0.5_s4234008
200,34,3.8,0.50,4234009,reused_original_rigorous,raw/rigorous/task_0440_L34_V3.80_R0.5_s4234009
201,34,3.8,0.50,4234010,reused_original_rigorous,raw/rigorous/task_0441_L34_V3.80_R0.5_s4234010
202,34,3.8,0.50,4234011,reused_original_rigorous,raw/rigorous/task_0442_L34_V3.80_R0.5_s4234011
203,34,3.8,0.50,4234012,reused_original_rigorous,raw/rigorous/task_0443_L34_V3.80_R0.5_s4234012
204,34,3.8,1.00,4234001,reused_original_rigorous,raw/rigorous/task_0444_L34_V3.80_R1.0_s4234001
205,34,3.8,1.00,4234002,reused_original_rigorous,raw/rigorous/task_0445_L34_V3.80_R1.0_s4234002
206,34,3.8,1.00,4234003,reused_original_rigorous,raw/rigorous/task_0446_L34_V3.80_R1.0_s4234003
207,34,3.8,1.00,4234004,reused_original_rigorous,raw/rigorous/task_0447_L34_V3.80_R1.0_s4234004
208,34,3.8,1.00,4234005,reused_original_rigorous,raw/rigorous/task_0448_L34_V3.80_R1.0_s4234005
209,34,3.8,1.00,4234006,reused_original_rigorous,raw/rigorous/task_0449_L34_V3.80_R1.0_s4234006
210,34,3.8,1.00,4234007,reused_original_rigorous,raw/rigorous/task_0450_L34_V3.80_R1.0_s4234007
211,34,3.8,1.00,4234008,reused_original_rigorous,raw/rigorous/task_0451_L34_V3.80_R1.0_s4234008
212,34,3.8,1.00,4234009,reused_original_rigorous,raw/rigorous/task_0452_L34_V3.80_R1.0_s4234009
