dataset_id,L,Vf,rate,seed,source,result_dir
213,34,3.8,1.00,4234010,reused_original_rigorous,raw/rigorous/task_0453_L34_V3.80_R1.0_s4234010
214,34,3.8,1.00,4234011,reused_original_rigorous,raw/rigorous/task_0454_L34_V3.80_R1.0_s4234011
215,34,3.8,1.00,4234012,reused_original_rigorous,raw/rigorous/task_0455_L34_V3.80_R1.0_s4234012
216,34,3.9,0.25,4234001,new_r025,raw/rigorous_compatible/task_0072_L34_V3.9_R0.25_s4234001
217,34,3.9,0.25,4234002,new_r025,raw/rigorous_compatible/task_0073_L34_V3.9_R0.25_s4234002
218,34,3.9,0.25,4234003,new_r025,raw/rigorous_compatible/task_0074_L34_V3.9_R0.25_s4234003
219,34,3.9,0.25,4234004,new_r025,raw/rigorous_compatible/task_0075_L34_V3.9_R0.25_s4234004
220,34,3.9,0.25,4234005,new_r025,raw/rigorous_compatible/task_0076_L34_V3.9_R0.25_s4234005
221,34,3.9,0.25,4234006,new_r025,raw/rigorous_compatible/task_0077_L34_V3.9_R0.25_s4234006
222,34,3.9,0.25,4234007,new_r025,raw/rigorous_compatible/task_0078_L34_V3.9_R0.25_s4234007
223,34,3.9,0.25,4234008,new_r025,raw/rigorous_compatible/task_0079_L34_V3.9_R0.25_s4234008
224,34,3.9,0.25,4234009,new_r025,raw/rigorous_compatible/task_0080_L34_V3.9_R0.25_s4234009
225,34,3.9,0.25,4234010,new_r025,raw/rigorous_compatible/task_0081_L34_V3.9_R0.25_s4234010
226,34,3.9,0.25,4234011,new_r025,raw/rigorous_compatible/task_0082_L34_V3.9_R0.25_s4234011
227,34,3.9,0.25,4234012,new_r025,raw/rigorous_compatible/task_0083_L34_V3.9_R0.25_s4234012
228,34,3.9,0.50,4234001,reused_original_rigorous,raw/rigorous/task_0504_L34_V3.90_R0.5_s4234001
229,34,3.9,0.50,4234002,reused_original_rigorous,raw/rigorous/task_0505_L34_V3.90_R0.5_s4234002
230,34,3.9,0.50,4234003,reused_original_rigorous,raw/rigorous/task_0506_L34_V3.90_R0.5_s4234003
231,34,3.9,0.50,4234004,reused_original_rigorous,raw/rigorous/task_0507_L34_V3.90_R0.5_s4234004
232,34,3.9,0.50,4234005,reused_original_rigorous,raw/rigorous/task_0508_L34_V3.90_R0.5_s4234005
233,34,3.9,0.50,4234006,reused_original_rigorous,raw/rigorous/task_0509_L34_V3.90_R0.5_s4234006
234,34,3.9,0.50,4234007,reused_original_rigorous,raw/rigorous/task_0510_L34_V3.90_R0.5_s4234007
235,34,3.9,0.50,4234008,reused_original_rigorous,raw/rigorous/task_0511_L34_V3.90_R0.5_s4234008
236,34,3.9,0.50,4234009,reused_original_rigorous,raw/rigorous/task_0512_L34_V3.90_R0.5_s4234009
237,34,3.9,0.50,4234010,reused_original_rigorous,raw/rigorous/task_0513_L34_V3.90_R0.5_s4234010
238,34,3.9,0.50,4234011,reused_original_rigorous,raw/rigorous/task_0514_L34_V3.90_R0.5_s4234011
239,34,3.9,0.50,4234012,reused_original_rigorous,raw/rigorous/task_0515_L34_V3.90_R0.5_s4234012
240,34,3.9,1.00,4234001,reused_original_rigorous,raw/rigorous/task_0516_L34_V3.90_R1.0_s4234001
241,34,3.9,1.00,4234002,reused_original_rigorous,raw/rigorous/task_0517_L34_V3.90_R1.0_s4234002
242,34,3.9,1.00,4234003,reused_original_rigorous,raw/rigorous/task_0518_L34_V3.90_R1.0_s4234003
243,34,3.9,1.00,4234004,reused_original_rigorous,raw/rigorous/task_0519_L34_V3.90_R1.0_s4234004
