task_id,dataset_id,L,Vf,rate,seed,burn,measurements,output_dir
54,150,26,4.2,0.25,4226007,500,5000,raw/rigorous_compatible/task_0054_L26_V4.2_R0.25_s4226007
55,151,26,4.2,0.25,4226008,500,5000,raw/rigorous_compatible/task_0055_L26_V4.2_R0.25_s4226008
56,152,26,4.2,0.25,4226009,500,5000,raw/rigorous_compatible/task_0056_L26_V4.2_R0.25_s4226009
57,153,26,4.2,0.25,4226010,500,5000,raw/rigorous_compatible/task_0057_L26_V4.2_R0.25_s4226010
58,154,26,4.2,0.25,4226011,500,5000,raw/rigorous_compatible/task_0058_L26_V4.2_R0.25_s4226011
59,155,26,4.2,0.25,4226012,500,5000,raw/rigorous_compatible/task_0059_L26_V4.2_R0.25_s4226012
60,180,34,3.8,0.25,4234001,500,5000,raw/rigorous_compatible/task_0060_L34_V3.8_R0.25_s4234001
61,181,34,3.8,0.25,4234002,500,5000,raw/rigorous_compatible/task_0061_L34_V3.8_R0.25_s4234002
62,182,34,3.8,0.25,4234003,500,5000,raw/rigorous_compatible/task_0062_L34_V3.8_R0.25_s4234003
63,183,34,3.8,0.25,4234004,500,5000,raw/rigorous_compatible/task_0063_L34_V3.8_R0.25_s4234004
64,184,34,3.8,0.25,4234005,500,5000,raw/rigorous_compatible/task_0064_L34_V3.8_R0.25_s4234005
65,185,34,3.8,0.25,4234006,500,5000,raw/rigorous_compatible/task_0065_L34_V3.8_R0.25_s4234006
66,186,34,3.8,0.25,4234007,500,5000,raw/rigorous_compatible/task_0066_L34_V3.8_R0.25_s4234007
67,187,34,3.8,0.25,4234008,500,5000,raw/rigorous_compatible/task_0067_L34_V3.8_R0.25_s4234008
68,188,34,3.8,0.25,4234009,500,5000,raw/rigorous_compatible/task_0068_L34_V3.8_R0.25_s4234009
69,189,34,3.8,0.25,4234010,500,5000,raw/rigorous_compatible/task_0069_L34_V3.8_R0.25_s4234010
70,190,34,3.8,0.25,4234011,500,5000,raw/rigorous_compatible/task_0070_L34_V3.8_R0.25_s4234011
71,191,34,3.8,0.25,4234012,500,5000,raw/rigorous_compatible/task_0071_L34_V3.8_R0.25_s4234012
72,216,34,3.9,0.25,4234001,500,5000,raw/rigorous_compatible/task_0072_L34_V3.9_R0.25_s4234001
73,217,34,3.9,0.25,4234002,500,5000,raw/rigorous_compatible/task_0073_L34_V3.9_R0.25_s4234002
74,218,34,3.9,0.25,4234003,500,5000,raw/rigorous_compatible/task_0074_L34_V3.9_R0.25_s4234003
75,219,34,3.9,0.25,4234004,500,5000,raw/rigorous_compatible/task_0075_L34_V3.9_R0.25_s4234004
76,220,34,3.9,0.25,4234005,500,5000,raw/rigorous_compatible/task_0076_L34_V3.9_R0.25_s4234005
77,221,34,3.9,0.25,4234006,500,5000,raw/rigorous_compatible/task_0077_L34_V3.9_R0.25_s4234006
78,222,34,3.9,0.25,4234007,500,5000,raw/rigorous_compatible/task_0078_L34_V3.9_R0.25_s4234007
79,223,34,3.9,0.25,4234008,500,5000,raw/rigorous_compatible/task_0079_L34_V3.9_R0.25_s4234008
80,224,34,3.9,0.25,4234009,500,5000,raw/rigorous_compatible/task_0080_L34_V3.9_R0.25_s4234009
81,225,34,3.9,0.25,4234010,500,5000,raw/rigorous_compatible/task_0081_L34_V3.9_R0.25_s4234010
82,226,34,3.9,0.25,4234011,500,5000,raw/rigorous_compatible/task_0082_L34_V3.9_R0.25_s4234011
83,227,34,3.9,0.25,4234012,500,5000,raw/rigorous_compatible/task_0083_L34_V3.9_R0.25_s4234012
84,252,34,4.0,0.25,4234001,500,5000,raw/rigorous_compatible/task_0084_L34_V4.0_R0.25_s4234001
85,253,34,4.0,0.25,4234002,500,5000,raw/rigorous_compatible/task_0085_L34_V4.0_R0.25_s4234002
86,254,34,4.0,0.25,4234003,500,5000,raw/rigorous_compatible/task_0086_L34_V4.0_R0.25_s4234003
87,255,34,4.0,0.25,4234004,500,5000,raw/rigorous_compatible/task_0087_L34_V4.0_R0.25_s4234004
88,256,34,4.0,0.25,4234005,500,5000,raw/rigorous_compatible/task_0088_L34_V4.0_R0.25_s4234005
89,257,34,4.0,0.25,4234006,500,5000,raw/rigorous_compatible/task_0089_L34_V4.0_R0.25_s4234006
90,258,34,4.0,0.25,4234007,500,5000,raw/rigorous_compatible/task_0090_L34_V4.0_R0.25_s4234007
91,259,34,4.0,0.25,4234008,500,5000,raw/rigorous_compatible/task_0091_L34_V4.0_R0.25_s4234008
92,260,34,4.0,0.25,4234009,500,5000,raw/rigorous_compatible/task_0092_L34_V4.0_R0.25_s4234009
93,261,34,4.0,0.25,4234010,500,5000,raw/rigorous_compatible/task_0093_L34_V4.0_R0.25_s4234010
94,262,34,4.0,0.25,4234011,500,5000,raw/rigorous_compatible/task_0094_L34_V4.0_R0.25_s4234011
95,263,34,4.0,0.25,4234012,500,5000,raw/rigorous_compatible/task_0095_L34_V4.0_R0.25_s4234012
96,288,34,4.1,0.25,4234001,500,5000,raw/rigorous_compatible/task_0096_L34_V4.1_R0.25_s4234001
97,289,34,4.1,0.25,4234002,500,5000,raw/rigorous_compatible/task_0097_L34_V4.1_R0.25_s4234002
98,290,34,4.1,0.25,4234003,500,5000,raw/rigorous_compatible/task_0098_L34_V4.1_R0.25_s4234003
99,291,34,4.1,0.25,4234004,500,5000,raw/rigorous_compatible/task_0099_L34_V4.1_R0.25_s4234004
100,292,34,4.1,0.25,4234005,500,5000,raw/rigorous_compatible/task_0100_L34_V4.1_R0.25_s4234005
101,293,34,4.1,0.25,4234006,500,5000,raw/rigorous_compatible/task_0101_L34_V4.1_R0.25_s4234006
102,294,34,4.1,0.25,4234007,500,5000,raw/rigorous_compatible/task_0102_L34_V4.1_R0.25_s4234007
103,295,34,4.1,0.25,4234008,500,5000,raw/rigorous_compatible/task_0103_L34_V4.1_R0.25_s4234008
104,296,34,4.1,0.25,4234009,500,5000,raw/rigorous_compatible/task_0104_L34_V4.1_R0.25_s4234009
105,297,34,4.1,0.25,4234010,500,5000,raw/rigorous_compatible/task_0105_L34_V4.1_R0.25_s4234010
106,298,34,4.1,0.25,4234011,500,5000,raw/rigorous_compatible/task_0106_L34_V4.1_R0.25_s4234011
107,299,34,4.1,0.25,4234012,500,5000,raw/rigorous_compatible/task_0107_L34_V4.1_R0.25_s4234012
108,324,34,4.2,0.25,4234001,500,5000,raw/rigorous_compatible/task_0108_L34_V4.2_R0.25_s4234001
109,325,34,4.2,0.25,4234002,500,5000,raw/rigorous_compatible/task_0109_L34_V4.2_R0.25_s4234002
110,326,34,4.2,0.25,4234003,500,5000,raw/rigorous_compatible/task_0110_L34_V4.2_R0.25_s4234003
111,327,34,4.2,0.25,4234004,500,5000,raw/rigorous_compatible/task_0111_L34_V4.2_R0.25_s4234004
112,328,34,4.2,0.25,4234005,500,5000,raw/rigorous_compatible/task_0112_L34_V4.2_R0.25_s4234005
113,329,34,4.2,0.25,4234006,500,5000,raw/rigorous_compatible/task_0113_L34_V4.2_R0.25_s4234006
114,330,34,4.2,0.25,4234007,500,5000,raw/rigorous_compatible/task_0114_L34_V4.2_R0.25_s4234007
115,331,34,4.2,0.25,4234008,500,5000,raw/rigorous_compatible/task_0115_L34_V4.2_R0.25_s4234008
116,332,34,4.2,0.25,4234009,500,5000,raw/rigorous_compatible/task_0116_L34_V4.2_R0.25_s4234009
117,333,34,4.2,0.25,4234010,500,5000,raw/rigorous_compatible/task_0117_L34_V4.2_R0.25_s4234010
118,334,34,4.2,0.25,4234011,500,5000,raw/rigorous_compatible/task_0118_L34_V4.2_R0.25_s4234011
119,335,34,4.2,0.25,4234012,500,5000,raw/rigorous_compatible/task_0119_L34_V4.2_R0.25_s4234012
