proposal,branch,index,block_boundary,stale_injected,uniform,new_ratio_real,new_ratio_imag,phase3e_ratio_real,phase3e_ratio_imag,legacy_ratio_real,legacy_ratio_imag,ratio_error_phase3e,ratio_error_legacy,z2_new,z2_phase3e,z2_legacy,status_match,precision_match,decision_new,decision_phase3e,decision_legacy,pre_residual_new,pre_residual_legacy,post_residual_new,post_residual_legacy,restore_count,saved_factors,legacy_fallbacks,status
50,bra,96,1,0,0.088389196230566958,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,224,0,PASS
51,bra,72,1,0,0.17813039942886297,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,192,0,PASS
52,ket,44,0,0,0.6471043531516919,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,176,0,PASS
53,bra,71,0,0,0.23741740442751291,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,192,0,PASS
54,bra,104,1,0,0.77973330982508948,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,160,0,PASS
55,bra,70,0,0,0.99774249600481024,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,160,0,PASS
56,ket,8,1,0,0.9192495365273633,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
57,bra,115,0,0,0.66862716927263655,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,32,0,PASS
58,bra,112,1,0,0.21727336306435813,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,240,0,PASS
59,bra,122,0,0,0.58289808883734606,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,224,0,PASS
60,ket,36,0,0,0.20090549450248282,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,64,0,PASS
61,bra,95,0,0,0.86627054088585698,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
62,bra,120,1,0,0.90000000000000002,0.09960079893439916,5.2915026221291816e-172,0.09960079893439916,5.2915026221291816e-172,0.09960079893439916,2.0000000000000001e-172,0,3.3046949997831736e-171,1,1,1,1,1,0,0,0,0,0,0,0,2,176,0,PASS
63,ket,39,0,0,0.79045594680577314,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
64,ket,0,1,0,0.47999474414364857,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,176,0,PASS
65,bra,75,0,0,0.37764433676690062,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,96,0,PASS
66,ket,0,1,0,0.015567114282845291,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,96,0,PASS
67,ket,47,0,0,0.83456949727853014,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,160,0,PASS
68,ket,28,0,0,0.222115471375056,0.99600798934399148,1e-172,0.99600798934399148,1e-172,0.99600798934399148,7.0710678118654751e-173,0,2.9406713796177787e-173,1,1,1,1,1,1,1,1,0,0,0,0,4,208,0,PASS
69,bra,119,0,0,0.52454317921198035,0.99600798934399148,1e-172,0.99600798934399148,1e-172,0.99600798934399148,7.0710678118654751e-173,0,2.9406713796177787e-173,1,1,1,1,1,1,1,1,0,0,0,0,4,64,0,PASS
70,ket,8,1,0,0.50520316640987506,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,32,0,PASS
71,ket,17,0,0,0.45294994129450084,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,224,0,PASS
72,ket,56,1,0,0.75232122960088432,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,160,0,PASS
73,bra,99,0,0,0.57515478903603801,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,160,0,PASS
74,ket,16,1,0,0.27437275279577117,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,80,0,PASS
75,bra,78,0,0,0.57013029622578859,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
76,ket,20,0,0,0.91751556875518092,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
77,bra,79,0,0,0.45441203280314224,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
78,ket,24,1,0,0.30445031485864443,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,144,0,PASS
79,ket,54,0,0,0.65584967649260029,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,1e-172,0,2.9406713796177787e-173,1,1,1,1,1,1,1,1,0,0,0,0,4,192,0,PASS
80,ket,48,1,0,0.25843278974701106,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,240,0,PASS
81,bra,123,0,0,0.36396203030494623,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,96,0,PASS
82,ket,32,1,0,0.51427190807652512,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,64,0,PASS
