block_size,cut,green_relative_error,overlap_rcond,solve_residual,alarm
8,35,1.2361743630528978e-15,0.99999831396847982,4.7548537581152824e-16,0
8,36,1.1559834441905233e-15,0.99999831396847993,4.1199712992035775e-16,0
8,37,2.0155271034797427e-15,0.99999831396848027,1.2444097892110759e-15,0
8,38,1.5193561713089005e-15,0.99999831396848049,4.1210274995858976e-16,0
8,39,1.4587450719840976e-15,0.99999831396848038,5.7380402831348218e-16,0
8,40,1.2136204380565273e-15,0.99999831396848016,4.9707809403194868e-16,0
8,41,1.3312032256508761e-15,0.99999831396848049,3.7820298383919119e-16,0
8,42,1.1944323470505003e-15,0.9999983139684806,3.8145808493513901e-16,0
8,43,1.0988503892191664e-15,0.99999831396848038,5.2332568387590817e-16,0
8,44,1.2270851013099212e-15,0.99999831396848049,5.1664604833692763e-16,0
8,45,1.3826092138309525e-15,0.99999831396848071,4.1996479916788733e-16,0
8,46,1.2169700814024017e-15,0.9999983139684806,5.1508588987285377e-16,0
8,47,1.4863126575694919e-15,0.99999831396848093,7.2765358815219188e-16,0
8,48,2.0411881062752286e-15,0.99999831396848049,1.26674081694267e-15,0
