group,L,boundary,hs_scheme,configuration,pf_weight_real,pf_weight_imag,dense_weight_real,dense_weight_imag,weight_error,z2_match,green_error,determinant_identity_error
dense_L4_random,4,0,0,89,1.503057132474386,9.024869077842514e-17,1.5030571324743951,-5.697399378754973e-17,6.057666694204621e-15,1,1.7338882778764618e-15,7.8628363158864158e-16
dense_L4_random,4,0,0,90,3.219335450639444,1.8364939169854705e-16,3.2193354506394645,1.7891646722017048e-17,6.3456500421010814e-15,1,1.293911721803793e-15,1.902865001107775e-32
dense_L4_random,4,0,0,91,1.5030571324743851,5.9430374038701798e-17,1.5030571324743944,-1.9750314499713522e-17,6.2048270411006771e-15,1,1.8989528121239225e-15,0
dense_L4_random,4,0,0,92,2.2261841093876975,-1.4512058593178342e-16,2.2261841093877104,2.3797768809978963e-16,5.7876092852516659e-15,1,2.3458687528817407e-15,1.79216528243556e-16
dense_L4_random,4,0,0,93,2.2261841093876975,2.8493338551994435e-16,2.2261841093877099,-1.336921552543536e-16,5.5887303516218589e-15,1,4.2036551747166572e-15,3.584330564871119e-16
dense_L4_random,4,0,0,94,1.105745860391079,6.9405829292994989e-17,1.1057458603910852,-5.9615716116190371e-17,5.6238849780170073e-15,1,2.6275695047152783e-15,1.816057441919633e-16
dense_L4_random,4,0,0,95,2.447702249485487,1.0350008469438899e-16,2.4477022494855003,2.9593652030958133e-17,5.4430155022338457e-15,1,1.9165372325583164e-15,4.4473806028476534e-16
dense_L4_random,4,0,0,96,1.1057458603910792,-6.8110474939779973e-17,1.1057458603910855,1.0974126469703354e-16,5.6249744809381974e-15,1,2.4590251216075263e-15,0
dense_L4_random,4,0,0,97,3.0260858518004099,2.6837138825837035e-16,3.0260858518004286,-4.289037349461597e-17,6.1645124184822963e-15,1,1.9096686067568354e-15,2.153664017866597e-32
dense_L4_random,4,0,0,98,2.2261841093876975,2.8493338551994435e-16,2.2261841093877099,-1.336921552543536e-16,5.5887303516218589e-15,1,4.2036551747166572e-15,3.584330564871119e-16
dense_L4_random,4,0,0,99,1.5030571324743853,1.0483451708112762e-16,1.5030571324743951,-6.0588177770793692e-18,6.5004794090527583e-15,1,2.007370925109071e-15,1.9657090789716047e-16
dense_L4_random,4,0,1,0,2.1049686417490339,-1.9366560088791719e-17,2.1049686417490507,3.0310055997297668e-17,8.0169665033253347e-15,1,1.6253113919182278e-15,2.004513363691151e-16
dense_L4_random,4,0,1,1,2.4675046450852385,-5.5187654108539833e-17,2.4675046450852545,4.016212641776257e-17,6.4792161275475785e-15,1,1.7163131373872387e-15,2.9175227730086192e-16
dense_L4_random,4,0,1,2,2.1049686417490356,-2.389915925850893e-17,2.1049686417490507,1.8143431525586894e-16,7.1737074593591681e-15,1,1.8126105824724415e-15,2.0045133636911486e-16
dense_L4_random,4,0,1,3,2.2502112618991226,1.2912840102883692e-17,2.2502112618991399,3.2872413287898965e-18,7.6968248058322382e-15,1,1.6737505514711983e-15,5.2622912807339551e-16
dense_L4_random,4,0,1,4,2.2420954412041403,-5.0290912628561095e-17,2.2420954412041549,1.0487577466827177e-16,6.5366375961894319e-15,1,1.854398773145258e-15,3.5336377119672043e-16
dense_L4_random,4,0,1,5,2.2426169194692349,-2.7073425305984898e-17,2.2426169194692509,9.3830376392091679e-17,7.1290234987143975e-15,1,1.7569012133916276e-15,3.5319945414344413e-16
dense_L4_random,4,0,1,6,2.4552960311332233,-9.149474739113736e-17,2.4552960311332406,4.735263897835683e-19,7.0540265383346127e-15,1,1.8741701031409071e-15,7.3665221240618802e-16
dense_L4_random,4,0,1,7,2.2465875804776916,-5.7718907090946547e-17,2.2465875804777089,3.9759285637952335e-18,7.7092872843625728e-15,1,1.6550667016212191e-15,3.5195205478298299e-16
