task,L,V,seed,attempt,initialization_policy,initialization_success,initial_z2,center_overlap_rcond,center_solve_residual,center_green_residual,proposals,accepted,independent_field_mismatches,mp_fallback_count,mp_fallback_failures,endpoint_rebuild_residual_max,final_hash,status
16,12,4,712041,105,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.9230469585322921e-16,2.2342238435941532e-15,64,44,8,0,0,2.2342238435941532e-15,4443914640052392775,PASS
16,12,4,712041,106,mirrored_theorem_z2_plus,1,1,0.99999999999999922,6.9915925000843632e-16,1.9624914290479946e-15,64,44,10,0,0,1.9624914290479946e-15,1513615648927561347,PASS
16,12,4,712041,107,mirrored_theorem_z2_plus,1,1,0.99999999999999922,9.3134569034264472e-16,2.7066753375871361e-15,64,47,9,0,0,2.7066753375871361e-15,4393385458463514425,PASS
16,12,4,712041,108,mirrored_theorem_z2_plus,1,1,0.99999999999999933,8.1334414743174969e-16,2.2035885132168721e-15,64,45,9,0,0,2.2035885132168721e-15,4986100078331655193,PASS
16,12,4,712041,109,mirrored_theorem_z2_plus,1,1,0.99999999999999878,8.0622939458799254e-16,2.2031589533064437e-15,64,47,9,0,0,2.2031589533064437e-15,11416874832544436765,PASS
16,12,4,712041,110,mirrored_theorem_z2_plus,1,1,0.99999999999999878,9.5977315499934883e-16,2.6693163335196355e-15,64,45,7,0,0,2.6693163335196355e-15,3809089757318307961,PASS
16,12,4,712041,111,mirrored_theorem_z2_plus,1,1,0.99999999999999933,7.7804409260143289e-16,2.1950752439926209e-15,64,51,9,0,0,2.1950752439926209e-15,15976011093278027417,PASS
16,12,4,712041,112,mirrored_theorem_z2_plus,1,1,0.99999999999999911,7.3956254135511342e-16,2.0753553801050005e-15,64,48,4,0,0,2.0753553801050005e-15,5264773564624189367,PASS
16,12,4,712041,113,mirrored_theorem_z2_plus,1,1,0.99999999999999878,7.768707302972989e-16,2.1981740125763973e-15,64,40,8,0,0,2.1981740125763973e-15,4982415542386533167,PASS
16,12,4,712041,114,mirrored_theorem_z2_plus,1,1,0.99999999999999889,7.9176324559093766e-16,2.2232528105422656e-15,64,46,6,0,0,2.2232528105422656e-15,7757702581966426579,PASS
16,12,4,712041,115,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.4290572049926953e-16,2.1137183261011704e-15,64,44,8,0,0,2.1137183261011704e-15,11410029380822267031,PASS
16,12,4,712041,116,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.1682702986514827e-16,2.0698065993487604e-15,64,45,5,0,0,2.0698065993487604e-15,13348908174320658561,PASS
16,12,4,712041,117,mirrored_theorem_z2_plus,1,1,0.99999999999999867,8.0070776954996832e-16,2.2238099894746215e-15,64,47,7,0,0,2.2238099894746215e-15,13775646788406039493,PASS
16,12,4,712041,118,mirrored_theorem_z2_plus,1,1,0.99999999999999922,8.2714946651712027e-16,2.3004839253682962e-15,64,51,7,0,0,2.3004839253682962e-15,15205848269132803153,PASS
16,12,4,712041,119,mirrored_theorem_z2_plus,1,1,0.99999999999999944,7.6904139749472865e-16,2.2462403049924182e-15,64,47,11,0,0,2.2462403049924182e-15,17738454289910878261,PASS
16,12,4,712041,120,mirrored_theorem_z2_plus,1,1,0.99999999999999944,6.9792640752055489e-16,1.9902572901585971e-15,64,46,12,0,0,1.9902572901585971e-15,6385143416797021043,PASS
16,12,4,712041,121,mirrored_theorem_z2_plus,1,1,0.99999999999999933,8.5288008496650955e-16,2.4233439255530117e-15,64,44,2,0,0,2.4233439255530117e-15,6051857582721013715,PASS
16,12,4,712041,122,mirrored_theorem_z2_plus,1,1,0.99999999999999867,9.5226864333317047e-16,2.6888764594902451e-15,64,45,7,0,0,2.6888764594902451e-15,12103489407297219661,PASS
16,12,4,712041,123,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.578711871725544e-16,2.1146381199657227e-15,64,48,8,0,0,2.1146381199657227e-15,16344601040110555011,PASS
16,12,4,712041,124,mirrored_theorem_z2_plus,1,1,0.99999999999999922,7.4456757991805316e-16,2.0926951531497413e-15,64,45,3,0,0,2.0926951531497413e-15,16058459939977853329,PASS
16,12,4,712041,125,mirrored_theorem_z2_plus,1,1,0.99999999999999933,9.2534674253516499e-16,2.6847633751803948e-15,64,45,5,0,0,2.6847633751803948e-15,10478748546377869441,PASS
16,12,4,712041,126,mirrored_theorem_z2_plus,1,1,0.999999999999999,6.5554330747899036e-16,1.8656527994002931e-15,64,44,8,0,0,1.8656527994002931e-15,6094505714638446431,PASS
16,12,4,712041,127,mirrored_theorem_z2_plus,1,1,0.99999999999999845,8.1618975796119205e-16,2.251361405998752e-15,64,43,13,0,0,2.251361405998752e-15,17432444986034524593,PASS
17,12,4,712042,0,mirrored_theorem_z2_plus,1,1,0.99999999999999911,6.5933991691891105e-16,1.9182952185938603e-15,64,43,9,0,0,1.9182952185938603e-15,6579296741748584465,PASS
17,12,4,712042,1,mirrored_theorem_z2_plus,1,1,0.99999999999999889,8.2311253893494352e-16,2.3896690425211906e-15,64,45,5,0,0,2.3896690425211906e-15,15235517585232635409,PASS
17,12,4,712042,2,mirrored_theorem_z2_plus,1,1,0.999999999999998,9.0602964819634322e-16,2.5147373653833683e-15,64,43,5,0,0,2.5147373653833683e-15,11778770307072960089,PASS
17,12,4,712042,3,mirrored_theorem_z2_plus,1,1,0.999999999999999,8.2019000916031606e-16,2.2758317233952303e-15,64,46,8,0,0,2.2758317233952303e-15,5488096830803092411,PASS
