task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir
41,gaussian_exact,40,0,10,8,0.1,1.3,0.7,0,0,760042,0,0,10,0,1,20,raw/gaussian_exact/task_0041_s760042
42,gaussian_exact,40,0,10,8,0.1,0.5,0,1,0,760043,0,0,10,0,1,20,raw/gaussian_exact/task_0042_s760043
43,gaussian_exact,40,0,10,8,0.1,0.5,0.7,1,0,760044,0,0,10,0,1,20,raw/gaussian_exact/task_0043_s760044
44,gaussian_exact,40,0,10,8,0.1,1,0,1,0,760045,0,0,10,0,1,20,raw/gaussian_exact/task_0044_s760045
45,gaussian_exact,40,0,10,8,0.1,1,0.7,1,0,760046,0,0,10,0,1,20,raw/gaussian_exact/task_0045_s760046
46,gaussian_exact,40,0,10,8,0.1,1.3,0,1,0,760047,0,0,10,0,1,20,raw/gaussian_exact/task_0046_s760047
47,gaussian_exact,40,0,10,8,0.1,1.3,0.7,1,0,760048,0,0,10,0,1,20,raw/gaussian_exact/task_0047_s760048
48,gaussian_exact,80,0,10,8,0.1,0.5,0,0,0,760049,0,0,10,0,1,20,raw/gaussian_exact/task_0048_s760049
49,gaussian_exact,80,0,10,8,0.1,0.5,0.7,0,0,760050,0,0,10,0,1,20,raw/gaussian_exact/task_0049_s760050
50,gaussian_exact,80,0,10,8,0.1,1,0,0,0,760051,0,0,10,0,1,20,raw/gaussian_exact/task_0050_s760051
51,gaussian_exact,80,0,10,8,0.1,1,0.7,0,0,760052,0,0,10,0,1,20,raw/gaussian_exact/task_0051_s760052
52,gaussian_exact,80,0,10,8,0.1,1.3,0,0,0,760053,0,0,10,0,1,20,raw/gaussian_exact/task_0052_s760053
53,gaussian_exact,80,0,10,8,0.1,1.3,0.7,0,0,760054,0,0,10,0,1,20,raw/gaussian_exact/task_0053_s760054
54,gaussian_exact,80,0,10,8,0.1,0.5,0,1,0,760055,0,0,10,0,1,20,raw/gaussian_exact/task_0054_s760055
55,gaussian_exact,80,0,10,8,0.1,0.5,0.7,1,0,760056,0,0,10,0,1,20,raw/gaussian_exact/task_0055_s760056
56,gaussian_exact,80,0,10,8,0.1,1,0,1,0,760057,0,0,10,0,1,20,raw/gaussian_exact/task_0056_s760057
57,gaussian_exact,80,0,10,8,0.1,1,0.7,1,0,760058,0,0,10,0,1,20,raw/gaussian_exact/task_0057_s760058
58,gaussian_exact,80,0,10,8,0.1,1.3,0,1,0,760059,0,0,10,0,1,20,raw/gaussian_exact/task_0058_s760059
59,gaussian_exact,80,0,10,8,0.1,1.3,0.7,1,0,760060,0,0,10,0,1,20,raw/gaussian_exact/task_0059_s760060
