beta_trial,seed,S_pi,S_pi_err,S_pi_dq,S_pi_dq_err,R_cdw,R_cdw_err,average_sign,acceptance,runtime_seconds,max_sign_imag,max_observable_imag,sign_corrections,raw_path,trial_slices,min_update_denominator,guard_trigger_fraction
4,990209,0.045185326449614635,0.0003861671160989883,0.035525973131087796,9.018855125200712e-05,0.213771905118309,0.006779301916223403,0.8748,0.74578125,310.288035806,5.228861115519545e-10,3.4425190848875505e-14,0,task_020_L10_V2_th10_bt4_dt0.1_s990209,40,inf,0
4,990210,0.04464201600614325,0.000552243563108401,0.03518212642114508,0.0001266084761580876,0.21190551931383173,0.009480589940873266,0.878,0.7458198,326.967171687,6.353088756569899e-10,1.999024463862778e-14,0,task_021_L10_V2_th10_bt4_dt0.1_s990210,40,inf,0
4,990211,0.045226649371545635,0.0003441691463239051,0.03508951653721452,0.00018512297989992603,0.22414069968023986,0.0056651885222207205,0.8648,0.7457769,306.505636657,2.840489651039458e-10,2.317267170162621e-14,0,task_022_L10_V2_th10_bt4_dt0.1_s990211,40,inf,0
4,990212,0.045444965838727466,0.00040689240230900534,0.03543105622791291,0.000135770472315165,0.22035245105808532,0.005271283574966998,0.8792,0.7458616,312.990240986,1.3984465155847767e-10,2.8303075426587505e-15,0,task_023_L10_V2_th10_bt4_dt0.1_s990212,40,inf,0
6,990201,0.0468282197653388,0.0022750350718548705,0.0343168015761546,0.0008955891189676644,0.2671768914530651,0.031005687516453353,0.876,0.7457109,199.721191783,7.673746234696061e-10,1.1199442504076738e-13,0,task_024_L10_V2_th10_bt6_dt0.1_s990201,60,inf,0
6,990202,0.044674557828893666,0.0007998766153874005,0.035523974737797434,0.00024165131906909076,0.20482761410070438,0.024549959898307168,0.8808,0.74581645,209.941181668,3.844510546367818e-09,4.129939070776916e-12,0,task_025_L10_V2_th10_bt6_dt0.1_s990202,60,inf,0
6,990203,0.046456628345857454,0.0006439740940802857,0.03534842627588837,0.0001558061712002476,0.23910908874555903,0.009887550495724188,0.8712,0.7457711,200.356665693,8.241020702909036e-10,1.1832009943584375e-14,0,task_026_L10_V2_th10_bt6_dt0.1_s990203,60,inf,0
6,990204,0.04575148530825952,0.0003106157119076957,0.035345666381753856,7.959177522154624e-05,0.22744220993907494,0.004816469085352414,0.8892,0.7456942,200.832067552,4.311318671323449e-09,9.064756349186199e-15,0,task_027_L10_V2_th10_bt6_dt0.1_s990204,60,inf,0
6,990205,0.045342197699745984,0.0006182460786415695,0.03556846114556349,0.0003358790275289976,0.21555498079082414,0.018023411407257432,0.8792,0.74567175,208.998503565,1.3294809311319873e-10,1.3018166832222323e-14,0,task_028_L10_V2_th10_bt6_dt0.1_s990205,60,inf,0
6,990206,0.04558510316784363,0.00029504107384288006,0.03544690181892993,0.00016150971271888586,0.22240163220833364,0.004212421807161185,0.8704,0.74572765,200.415324116,3.442961123533282e-09,1.4230433850039817e-14,0,task_029_L10_V2_th10_bt6_dt0.1_s990206,60,inf,0
6,990207,0.04607949724233526,0.000714892063146165,0.03564451110215054,0.00021670161979493139,0.22645616303724858,0.008026842064479362,0.8776,0.7457865,204.686356244,6.085757251760871e-10,1.1558504476382567e-14,0,task_030_L10_V2_th10_bt6_dt0.1_s990207,60,inf,0
6,990208,0.045324821609979346,0.00037486557244771824,0.035243582787817404,0.00013867212051412952,0.22242202978560244,0.007156558825572771,0.8704,0.74571745,210.254657728,5.839243740479591e-10,6.569917342416447e-14,0,task_031_L10_V2_th10_bt6_dt0.1_s990208,60,inf,0
6,990209,0.04518532644961592,0.0003861671160994907,0.03552597313108888,9.018855125228474e-05,0.21377190511830746,0.0067793019162221526,0.8748,0.74578125,305.505967753,6.961806693598533e-10,7.511141947704022e-14,0,task_032_L10_V2_th10_bt6_dt0.1_s990209,60,inf,0
6,990210,0.0446420160061436,0.0005522435631082224,0.03518212642114499,0.00012660847615799794,0.21190551931383983,0.009480589940869658,0.878,0.7458198,316.106246561,1.158432672115328e-09,2.404245248464043e-14,0,task_033_L10_V2_th10_bt6_dt0.1_s990210,60,inf,0
6,990211,0.04522664937154582,0.00034416914632408644,0.03508951653721453,0.0001851229798999061,0.22414069968024275,0.005665188522222833,0.8648,0.7457769,325.706823198,4.754930822614118e-10,1.2989653686801771e-14,0,task_034_L10_V2_th10_bt6_dt0.1_s990211,60,inf,0
6,990212,0.04544496583872535,0.0004068924023095447,0.035431056227912636,0.00013577047231536416,0.22035245105805512,0.005271283574973817,0.8792,0.7458616,326.317860884,2.0489606361994986e-10,1.120314669555935e-14,0,task_035_L10_V2_th10_bt6_dt0.1_s990212,60,inf,0
8,990201,0.04682821976533876,0.002275035071854893,0.034316801576154285,0.0008955891189676433,0.2671768914530712,0.031005687516453384,0.876,0.7457109,319.837370916,2.1541731577108525e-10,3.6290488586985035e-14,0,task_036_L10_V2_th10_bt8_dt0.1_s990201,80,inf,0
8,990202,0.04467455782889395,0.0007998766153871502,0.0355239747377975,0.00024165131906913592,0.20482761410070804,0.024549959898298113,0.8808,0.74581645,296.525013702,1.931412654169245e-09,2.9101498921658334e-12,0,task_037_L10_V2_th10_bt8_dt0.1_s990202,80,inf,0
8,990203,0.046456628345857225,0.0006439740940803059,0.03534842627588809,0.00015580617120024038,0.23910908874556125,0.009887550495724004,0.8712,0.7457711,338.087608438,8.629859631072948e-10,9.152721230785396e-15,0,task_038_L10_V2_th10_bt8_dt0.1_s990203,80,inf,0
8,990204,0.04575148530825952,0.0003106157119077099,0.035345666381753856,7.959177522154304e-05,0.22744220993907494,0.004816469085352522,0.8892,0.7456942,323.637484441,1.3803058625922303e-09,4.1066280437650404e-15,0,task_039_L10_V2_th10_bt8_dt0.1_s990204,80,inf,0
8,990205,0.045342197699746296,0.0006182460786415713,0.035568461145563356,0.00033587902752901837,0.21555498079083246,0.01802341140725805,0.8792,0.74567175,301.357464688,1.940764998724683e-10,4.0819602617747085e-14,0,task_040_L10_V2_th10_bt8_dt0.1_s990205,80,inf,0
8,990206,0.04558510316784342,0.0002950410738428839,0.03544690181892988,0.00016150971271890695,0.2224016322083311,0.00421242180716071,0.8704,0.74572765,312.288109677,2.3478586048292336e-09,2.598722644666458e-14,0,task_041_L10_V2_th10_bt8_dt0.1_s990206,80,inf,0
8,990207,0.04607949724233482,0.0007148920631461734,0.03564451110215042,0.00021670161979491035,0.22645616303724392,0.008026842064479327,0.8776,0.7457865,311.979385443,4.054521190485602e-10,6.121884840172833e-15,0,task_042_L10_V2_th10_bt8_dt0.1_s990207,80,inf,0
8,990208,0.04532482160997936,0.00037486557244772,0.03524358278781741,0.00013867212051412765,0.22242202978560255,0.007156558825572717,0.8704,0.74571745,205.380052588,5.891184209919734e-10,6.572488915348521e-14,0,task_043_L10_V2_th10_bt8_dt0.1_s990208,80,inf,0
8,990209,0.045185326449615947,0.0003861671160994992,0.03552597313108892,9.01885512522898e-05,0.21377190511830702,0.006779301916222104,0.8748,0.74578125,206.323286681,8.515985903041417e-10,8.982712063204411e-14,0,task_044_L10_V2_th10_bt8_dt0.1_s990209,80,inf,0
8,990210,0.04464201600614359,0.000552243563108219,0.03518212642114498,0.00012660847615799623,0.21190551931383994,0.00948058994086962,0.878,0.7458198,205.016111103,3.3330340079457406e-10,2.831216091931557e-14,0,task_045_L10_V2_th10_bt8_dt0.1_s990210,80,inf,0
8,990211,0.04522664937154582,0.00034416914632408936,0.03508951653721453,0.00018512297989990657,0.22414069968024275,0.005665188522222874,0.8648,0.7457769,218.017866306,5.705309676015542e-10,8.794104262262711e-15,0,task_046_L10_V2_th10_bt8_dt0.1_s990211,80,inf,0
8,990212,0.04544496583872532,0.0004068924023095549,0.03543105622791262,0.00013577047231536795,0.2203524510580549,0.0052712835749739485,0.8792,0.7458616,207.998156774,2.1868773603989335e-10,2.2332726391409482e-15,0,task_047_L10_V2_th10_bt8_dt0.1_s990212,80,inf,0
10,990201,0.04682821976533874,0.002275035071854881,0.034316801576154285,0.0008955891189676466,0.2671768914530709,0.031005687516453405,0.876,0.7457109,210.570675746,2.8724336801001707e-10,1.5188674900654903e-13,0,task_048_L10_V2_th10_bt10_dt0.1_s990201,100,inf,0
10,990202,0.044674557828893804,0.0007998766153872917,0.03552397473779763,0.00024165131906924757,0.2048276141007025,0.024549959898308837,0.8808,0.74581645,210.98042256,1.4461772291439807e-09,4.4441243703809814e-12,0,task_049_L10_V2_th10_bt10_dt0.1_s990202,100,inf,0
10,990203,0.04645662834585722,0.0006439740940803056,0.03534842627588808,0.0001558061712002402,0.23910908874556147,0.009887550495723988,0.8712,0.7457711,221.248430084,1.3569729267675409e-09,8.214433997785728e-15,0,task_050_L10_V2_th10_bt10_dt0.1_s990203,100,inf,0
10,990204,0.04575148530825952,0.00031061571190770995,0.03534566638175385,7.959177522154291e-05,0.22744220993907505,0.0048164690853525075,0.8892,0.7456942,322.389557496,5.022255643988503e-10,7.926167987396437e-15,0,task_051_L10_V2_th10_bt10_dt0.1_s990204,100,inf,0
10,990205,0.04534219769974629,0.0006182460786415693,0.03556846114556334,0.0003358790275290164,0.21555498079083268,0.018023411407257914,0.8792,0.74567175,338.554803413,2.365168933583111e-10,1.8180188924043242e-14,0,task_052_L10_V2_th10_bt10_dt0.1_s990205,100,inf,0
10,990206,0.04558510316784342,0.0002950410738428842,0.03544690181892989,0.000161509712718907,0.22240163220833087,0.0042124218071606925,0.8704,0.74572765,331.563578075,2.173351689242874e-09,5.234189211889086e-15,0,task_053_L10_V2_th10_bt10_dt0.1_s990206,100,inf,0
10,990207,0.04607949724233482,0.0007148920631461727,0.035644511102150424,0.00021670161979490976,0.2264561630372438,0.008026842064479326,0.8776,0.7457865,333.25728756,7.297394529467555e-10,8.931024180126421e-15,0,task_054_L10_V2_th10_bt10_dt0.1_s990207,100,inf,0
10,990208,0.04532482160997936,0.00037486557244772,0.035243582787817404,0.00013867212051412809,0.22242202978560266,0.0071565588255727165,0.8704,0.74571745,325.536872934,5.333583256311976e-10,6.571157430152443e-14,0,task_055_L10_V2_th10_bt10_dt0.1_s990208,100,inf,0
