comparison,L,V,theta,delta,mu,boundary,observable,left,right,difference
tiny_enum_vs_ed,2,2,0.1,1,0.7,1,S_pi_dq,0.11482203051649151,0.11482203051649162,-1.1102230246251565e-16
tiny_enum_vs_ed,2,2,0.1,1,0.7,1,R_cdw,0.15058621641376457,0.15058621641376402,5.551115123125783e-16
tiny_enum_vs_ed,2,4,0.1,0.6,0,1,S_pi,0.15262567551893644,0.15262567551893638,5.551115123125783e-17
tiny_enum_vs_ed,2,4,0.1,0.6,0,1,S_pi_dq,0.09737432448106377,0.09737432448106362,1.5265566588595902e-16
tiny_enum_vs_ed,2,4,0.1,0.6,0,1,R_cdw,0.3620056117688899,0.3620056117688907,-7.771561172376096e-16
tiny_enum_vs_ed,2,4,0.1,0.6,0.7,1,S_pi,0.1503583461132075,0.1503583461132077,-1.942890293094024e-16
tiny_enum_vs_ed,2,4,0.1,0.6,0.7,1,S_pi_dq,0.09964165388679229,0.09964165388679232,-2.7755575615628914e-17
tiny_enum_vs_ed,2,4,0.1,0.6,0.7,1,R_cdw,0.33730546748784873,0.3373054674878494,-6.661338147750939e-16
tiny_enum_vs_ed,2,4,0.1,1,0,1,S_pi,0.1496719150281131,0.14967191502811303,8.326672684688674e-17
tiny_enum_vs_ed,2,4,0.1,1,0,1,S_pi_dq,0.1003280849718871,0.100328084971887,9.71445146547012e-17
tiny_enum_vs_ed,2,4,0.1,1,0,1,R_cdw,0.32967995396436056,0.3296799539643608,-2.220446049250313e-16
tiny_enum_vs_ed,2,4,0.1,1,0.7,1,S_pi,0.14745424492433665,0.14745424492433679,-1.3877787807814457e-16
tiny_enum_vs_ed,2,4,0.1,1,0.7,1,S_pi_dq,0.10254575507566317,0.10254575507566327,-9.71445146547012e-17
tiny_enum_vs_ed,2,4,0.1,1,0.7,1,R_cdw,0.30455881328962364,0.30455881328962364,0.0
tiny_enum_vs_ed,2,2,0.2,0.6,0,0,S_pi,0.20029512836636487,0.20029512836636504,-1.6653345369377348e-16
tiny_enum_vs_ed,2,2,0.2,0.6,0,0,S_pi_dq,0.04970487163363502,0.04970487163363496,5.551115123125783e-17
tiny_enum_vs_ed,2,2,0.2,0.6,0,0,R_cdw,0.7518418344018902,0.7518418344018908,-5.551115123125783e-16
tiny_enum_vs_ed,2,2,0.2,0.6,0.7,0,S_pi,0.19679315933358363,0.196793159333584,-3.608224830031759e-16
tiny_enum_vs_ed,2,2,0.2,0.6,0.7,0,S_pi_dq,0.05320684066641612,0.053206840666416025,9.71445146547012e-17
tiny_enum_vs_ed,2,2,0.2,0.6,0.7,0,R_cdw,0.7296306393647285,0.7296306393647295,-9.992007221626409e-16
tiny_enum_vs_ed,2,2,0.2,1,0,0,S_pi,0.20029512836636487,0.20029512836636504,-1.6653345369377348e-16
tiny_enum_vs_ed,2,2,0.2,1,0,0,S_pi_dq,0.04970487163363502,0.04970487163363496,5.551115123125783e-17
tiny_enum_vs_ed,2,2,0.2,1,0,0,R_cdw,0.7518418344018902,0.7518418344018908,-5.551115123125783e-16
tiny_enum_vs_ed,2,2,0.2,1,0.7,0,S_pi,0.19679315933358363,0.196793159333584,-3.608224830031759e-16
tiny_enum_vs_ed,2,2,0.2,1,0.7,0,S_pi_dq,0.05320684066641612,0.053206840666416025,9.71445146547012e-17
tiny_enum_vs_ed,2,2,0.2,1,0.7,0,R_cdw,0.7296306393647285,0.7296306393647295,-9.992007221626409e-16
tiny_enum_vs_ed,2,4,0.2,0.6,0,0,S_pi,0.2249203362899981,0.2249203362899984,-3.0531133177191805e-16
tiny_enum_vs_ed,2,4,0.2,0.6,0,0,S_pi_dq,0.025079663710001792,0.025079663710001577,2.1510571102112408e-16
tiny_enum_vs_ed,2,4,0.2,0.6,0,0,R_cdw,0.8884953485145707,0.8884953485145718,-1.1102230246251565e-15
tiny_enum_vs_ed,2,4,0.2,0.6,0.7,0,S_pi,0.22291876216334602,0.22291876216334705,-1.0269562977782698e-15
tiny_enum_vs_ed,2,4,0.2,0.6,0.7,0,S_pi_dq,0.027081237836653088,0.02708123783665295,1.3877787807814457e-16
tiny_enum_vs_ed,2,4,0.2,0.6,0.7,0,R_cdw,0.8785152152567175,0.8785152152567186,-1.1102230246251565e-15
