comparison,group,seed,observable,left,right,difference
hs0_minus_hs1,10|4|10|0,720029,S_pi_dq,0.07828650311845071,0.02994727553730405,0.048339227581146664
hs0_minus_hs1,10|4|10|0,720029,R_cdw,-0.8304848802560427,0.7521123535712401,-1.5825972338272827
hs0_minus_hs1,10|4|10|0,720029,average_sign,0.16266666666666665,1,-0.8373333333333334
hs0_minus_hs1,10|6|10|0,720051,S_pi,0.19291187982063568,0.1901007385324126,0.0028111412882230735
hs0_minus_hs1,10|6|10|0,720051,S_pi_dq,0.03588119776428561,0.014625073398722748,0.021256124365562862
hs0_minus_hs1,10|6|10|0,720051,R_cdw,0.8140021350802916,0.9230667197211907,-0.10906458464089908
hs0_minus_hs1,10|6|10|0,720051,average_sign,0.14,1,-0.86
hs0_minus_hs1,10|4|10|0,720027,S_pi,0.058107987964212474,0.12380238318653966,-0.06569439522232719
hs0_minus_hs1,10|4|10|0,720027,S_pi_dq,0.034789165744930094,0.029440381665899518,0.005348784079030576
hs0_minus_hs1,10|4|10|0,720027,R_cdw,0.4013014911761179,0.7621985869081362,-0.36089709573201834
hs0_minus_hs1,10|4|10|0,720027,average_sign,0.17333333333333334,1,-0.8266666666666667
hs0_minus_hs1,18|6|10|1,720138,S_pi,0.07949722240889853,0.17218673874205304,-0.0926895163331545
hs0_minus_hs1,18|6|10|1,720138,S_pi_dq,0.13698566775930476,0.012272788646602632,0.12471287911270212
hs0_minus_hs1,18|6|10|1,720138,R_cdw,-0.7231503643575257,0.928723961344154,-1.6518743257016797
hs0_minus_hs1,18|6|10|1,720138,average_sign,0.04733333333333333,1,-0.9526666666666667
hs0_minus_hs1,10|6|18|0,720058,S_pi,0.15108847695015803,0.18761215016478153,-0.03652367321462349
hs0_minus_hs1,10|6|18|0,720058,S_pi_dq,0.0063534619982967555,0.015311238445220168,-0.008957776446923412
hs0_minus_hs1,10|6|18|0,720058,R_cdw,0.9579487322491663,0.9183888760308319,0.039559856218334466
hs0_minus_hs1,10|6|18|0,720058,average_sign,0.056666666666666664,1,-0.9433333333333334
hs0_minus_hs1,10|2|10|0,720002,S_pi,0.04994978799824807,0.0456097439611876,0.004340044037060467
hs0_minus_hs1,10|2|10|0,720002,S_pi_dq,0.03498827407237131,0.03563487303701623,-0.0006465989646449177
hs0_minus_hs1,10|2|10|0,720002,R_cdw,0.2995310796194274,0.21870043674570205,0.08083064287372532
hs0_minus_hs1,10|2|10|0,720002,average_sign,0.866,1,-0.134
hs0_minus_hs1,10|4|18|1,720048,S_pi,0.12150642147422965,0.10580916689761358,0.015697254576616068
hs0_minus_hs1,10|4|18|1,720048,S_pi_dq,0.024953200067598314,0.03513726668151385,-0.010184066613915538
hs0_minus_hs1,10|4|18|1,720048,R_cdw,0.7946347216481011,0.6679185016595539,0.1267162199885472
hs0_minus_hs1,10|4|18|1,720048,average_sign,0.12666666666666668,1,-0.8733333333333333
hs0_minus_hs1,10|4|18|1,720043,S_pi,0.13286922819903083,0.10435978695066164,0.028509441248369183
hs0_minus_hs1,10|4|18|1,720043,S_pi_dq,0.047963177479810444,0.03518255654768897,0.012780620932121477
hs0_minus_hs1,10|4|18|1,720043,R_cdw,0.6390196727268993,0.6628724763081177,-0.02385280358121844
hs0_minus_hs1,10|4|18|1,720043,average_sign,0.07733333333333334,1,-0.9226666666666666
hs0_minus_hs1,10|2|10|1,720017,S_pi,0.0457302424881038,0.04471138543314402,0.0010188570549597778
hs0_minus_hs1,10|2|10|1,720017,S_pi_dq,0.036122733701669366,0.03621548756795242,-9.275386628305321e-05
hs0_minus_hs1,10|2|10|1,720017,R_cdw,0.2100909215369614,0.19001643055537465,0.020074490981586757
hs0_minus_hs1,10|2|10|1,720017,average_sign,0.8773333333333333,1,-0.1226666666666667
hs0_minus_hs1,10|4|10|1,720039,S_pi,0.13616864633338688,0.10623148997658721,0.029937156356799666
hs0_minus_hs1,10|4|10|1,720039,S_pi_dq,0.023134912173383187,0.03487353727475707,-0.01173862510137388
hs0_minus_hs1,10|4|10|1,720039,R_cdw,0.8301010342958018,0.6717212826211607,0.15837975167464113
hs0_minus_hs1,10|4|10|1,720039,average_sign,0.286,1,-0.714
hs0_minus_hs1,18|2|18|1,720092,S_pi,0.024822061310109257,0.02483468800658516,-1.2626696475902949e-05
hs0_minus_hs1,18|2|18|1,720092,S_pi_dq,0.022971620255236583,0.022824810721612694,0.00014680953362388935
hs0_minus_hs1,18|2|18|1,720092,R_cdw,0.0745482428616453,0.08093024097743962,-0.006381998115794318
hs0_minus_hs1,18|2|18|1,720092,average_sign,0.6446666666666667,1,-0.3553333333333333
