comparison,group,observable,n_pairs,mean_difference,paired_sem,z_score
hs0_minus_hs1,18|6|18|0,S_pi,6,0.2442823131083233,0.21340686834661735,1.1446787772151634
hs0_minus_hs1,18|6|18|0,S_pi_dq,6,0.041825454698036335,0.13916427345216056,0.3005473578850275
hs0_minus_hs1,18|6|18|0,average_sign,6,-0.9965555555555555,0.00599608926048912,-166.20092067713202
hs0_minus_hs1,18|6|18|1,R_cdw,6,0.5461401987283526,0.24267980161951283,2.250455930339939
hs0_minus_hs1,18|6|18|1,S_pi,6,0.7035312090012228,0.3575425516202399,1.9676852609936932
hs0_minus_hs1,18|6|18|1,S_pi_dq,6,-0.5768759325793071,0.1524994964330676,-3.782805491639767
hs0_minus_hs1,18|6|18|1,average_sign,6,-1.001111111111111,0.00498194270204102,-200.94793757884293
stb20_minus_stb10,18|4|18|0,R_cdw,6,1.7283767010193667e-11,9.537689840426612e-12,1.8121544419419473
stb20_minus_stb10,18|4|18|0,S_pi,6,1.0862297172842261e-11,1.057233900052931e-11,1.0274261137765668
stb20_minus_stb10,18|4|18|0,S_pi_dq,6,6.96247457835734e-11,7.19470208265105e-11,0.9677224294173776
stb20_minus_stb10,18|4|18|0,average_sign,6,0.0,0.0,nan
stb5_minus_stb10,18|4|18|0,R_cdw,6,1.9433713897380283e-11,1.9750351707116305e-11,0.9839679913334438
stb5_minus_stb10,18|4|18|0,S_pi,6,-2.305623284885409e-12,2.3245698218802463e-12,-0.9918494437910613
stb5_minus_stb10,18|4|18|0,S_pi_dq,6,5.408109145695524e-12,5.74034968689914e-12,0.9421218986080466
stb5_minus_stb10,18|4|18|0,average_sign,6,0.0,0.0,nan
