kind,comparison,seed,metric,task_a,task_b,value_a,value_b,difference_b_minus_a,physics_pair_valid
interval,10_vs_20,740005,R_cdw,10,16,2.069974299704998,2.0699742997039827,-1.0151879337172431e-12,0
interval,10_vs_20,740005,average_sign,10,16,-0.005333333333333333,-0.005333333333333333,0.0,0
interval,10_vs_20,740005,acceptance,10,16,0.630783153292181,0.630783153292181,0.0,0
interval,10_vs_20,740005,sign_corrections,10,16,0.0,1.0,1.0,0
interval,10_vs_20,740005,max_sign_imag,10,16,0.0004504152105607477,0.02429407028832073,0.02384365507775998,0
interval,10_vs_20,740005,max_observable_imag,10,16,1.060754916597671e-09,7.722157227819158e-10,-2.8853919381575514e-10,0
interval,10_vs_20,740005,diagnostic_relative_frobenius_max,10,16,1.3951064626517025e-12,1.6612830315225539e-12,2.661765688708514e-13,0
interval,10_vs_20,740005,diagnostic_S_pi_abs_diff_max,10,16,2.502338614096544e-16,4.129075553693795e-15,3.878841692284141e-15,0
interval,10_vs_20,740005,diagnostic_R_cdw_abs_diff_max,10,16,3.920419544556353e-12,6.397904428467882e-11,6.005862474012247e-11,0
interval,10_vs_20,740005,diagnostic_sign_mismatch_count,10,16,0.0,0.0,0.0,0
interval,5_vs_10,740006,S_pi,5,11,0.045173779314897806,0.04517377931490039,2.581268532253489e-15,0
interval,5_vs_10,740006,S_pi_dq,5,11,0.09644700560484962,0.09644700561019108,5.34146338271313e-12,0
interval,5_vs_10,740006,R_cdw,5,11,-1.1350218438120026,-1.1350218439301232,-1.1812062439275905e-10,0
interval,5_vs_10,740006,average_sign,5,11,0.01,0.01,0.0,0
interval,5_vs_10,740006,acceptance,5,11,0.6309162551440329,0.6309162551440329,0.0,0
interval,5_vs_10,740006,sign_corrections,5,11,0.0,0.0,0.0,0
interval,5_vs_10,740006,max_sign_imag,5,11,8.744212831550005e-05,7.239470660027711e-05,-1.5047421715222944e-05,0
interval,5_vs_10,740006,max_observable_imag,5,11,3.8664692746750074e-11,2.2774987983745472e-10,1.8908518709070466e-10,0
interval,5_vs_10,740006,diagnostic_relative_frobenius_max,5,11,4.6714395864844e-13,3.1744217000814757e-13,-1.4970178864029244e-13,0
interval,5_vs_10,740006,diagnostic_S_pi_abs_diff_max,5,11,1.0200174038743626e-15,1.3114509478384662e-15,2.914335439641036e-16,0
interval,5_vs_10,740006,diagnostic_R_cdw_abs_diff_max,5,11,1.2745360322696797e-12,1.2034817586936697e-12,-7.105427357601002e-14,0
interval,5_vs_10,740006,diagnostic_sign_mismatch_count,5,11,0.0,0.0,0.0,0
interval,5_vs_20,740006,S_pi,5,17,0.045173779314897806,0.04517377931481976,-7.80486786311485e-14,0
interval,5_vs_20,740006,S_pi_dq,5,17,0.09644700560484962,0.0964470056077038,2.854189107281968e-12,0
interval,5_vs_20,740006,R_cdw,5,17,-1.1350218438120026,-1.135021843878874,-6.687139730843228e-11,0
interval,5_vs_20,740006,average_sign,5,17,0.01,0.01,0.0,0
interval,5_vs_20,740006,acceptance,5,17,0.6309162551440329,0.6309162551440329,0.0,0
interval,5_vs_20,740006,sign_corrections,5,17,0.0,1.0,1.0,0
interval,5_vs_20,740006,max_sign_imag,5,17,8.744212831550005e-05,0.005909985216195635,0.005822543087880135,0
interval,5_vs_20,740006,max_observable_imag,5,17,3.8664692746750074e-11,2.877453295980603e-10,2.4908063685131026e-10,0
interval,5_vs_20,740006,diagnostic_relative_frobenius_max,5,17,4.6714395864844e-13,7.655962230321924e-13,2.984522643837524e-13,0
interval,5_vs_20,740006,diagnostic_S_pi_abs_diff_max,5,17,1.0200174038743626e-15,2.3377133562263452e-14,2.235711615838909e-14,0
interval,5_vs_20,740006,diagnostic_R_cdw_abs_diff_max,5,17,1.2745360322696797e-12,4.2732484217822275e-13,-8.47211190091457e-13,0
interval,5_vs_20,740006,diagnostic_sign_mismatch_count,5,17,0.0,0.0,0.0,0
interval,10_vs_20,740006,S_pi,11,17,0.04517377931490039,0.04517377931481976,-8.0629947163402e-14,0
interval,10_vs_20,740006,S_pi_dq,11,17,0.09644700561019108,0.0964470056077038,-2.4872742754311616e-12,0
interval,10_vs_20,740006,R_cdw,11,17,-1.1350218439301232,-1.135021843878874,5.1249227084326776e-11,0
interval,10_vs_20,740006,average_sign,11,17,0.01,0.01,0.0,0
interval,10_vs_20,740006,acceptance,11,17,0.6309162551440329,0.6309162551440329,0.0,0
interval,10_vs_20,740006,sign_corrections,11,17,0.0,1.0,1.0,0
interval,10_vs_20,740006,max_sign_imag,11,17,7.239470660027711e-05,0.005909985216195635,0.005837590509595357,0
interval,10_vs_20,740006,max_observable_imag,11,17,2.2774987983745472e-10,2.877453295980603e-10,5.99954497606056e-11,0
interval,10_vs_20,740006,diagnostic_relative_frobenius_max,11,17,3.1744217000814757e-13,7.655962230321924e-13,4.481540530240448e-13,0
interval,10_vs_20,740006,diagnostic_S_pi_abs_diff_max,11,17,1.3114509478384662e-15,2.3377133562263452e-14,2.2065682614424986e-14,0
interval,10_vs_20,740006,diagnostic_R_cdw_abs_diff_max,11,17,1.2034817586936697e-12,4.2732484217822275e-13,-7.761569165154469e-13,0
interval,10_vs_20,740006,diagnostic_sign_mismatch_count,11,17,0.0,0.0,0.0,0
guard,V4_off_vs_on,740007,S_pi,18,24,0.15240775250119223,0.15240775250119223,0.0,1
guard,V4_off_vs_on,740007,S_pi_dq,18,24,0.008599511725522075,0.008599511725522075,0.0,1
guard,V4_off_vs_on,740007,R_cdw,18,24,0.9435756279822131,0.9435756279822131,0.0,1
guard,V4_off_vs_on,740007,average_sign,18,24,0.13733333333333334,0.13733333333333334,0.0,1
guard,V4_off_vs_on,740007,acceptance,18,24,0.6280075833333333,0.6280075833333333,0.0,1
guard,V4_off_vs_on,740007,sign_corrections,18,24,0.0,0.0,0.0,1
guard,V4_off_vs_on,740007,max_sign_imag,18,24,4.1249464795771545e-06,1.0606190836409686e-06,-3.0643273959361857e-06,1
guard,V4_off_vs_on,740007,max_observable_imag,18,24,1.3326144070589629e-12,1.3326144070589629e-12,0.0,1
guard,V4_off_vs_on,740007,diagnostic_relative_frobenius_max,18,24,3.043565363238507e-14,3.043565363238507e-14,0.0,1
guard,V4_off_vs_on,740007,diagnostic_S_pi_abs_diff_max,18,24,3.2751579226442118e-15,3.2751579226442118e-15,0.0,1
guard,V4_off_vs_on,740007,diagnostic_R_cdw_abs_diff_max,18,24,9.325873406851315e-15,9.325873406851315e-15,0.0,1
guard,V4_off_vs_on,740007,diagnostic_sign_mismatch_count,18,24,0.0,0.0,0.0,1
guard,V4_off_vs_on,740008,S_pi,19,25,0.16514629425788735,0.16514629425788735,0.0,1
guard,V4_off_vs_on,740008,S_pi_dq,19,25,0.023549317618805764,0.023549317618805764,0.0,1
guard,V4_off_vs_on,740008,R_cdw,19,25,0.8574032937001186,0.8574032937001186,0.0,1
guard,V4_off_vs_on,740008,average_sign,19,25,0.142,0.142,0.0,1
guard,V4_off_vs_on,740008,acceptance,19,25,0.6279763333333334,0.6279763333333334,0.0,1
guard,V4_off_vs_on,740008,sign_corrections,19,25,0.0,0.0,0.0,1
guard,V4_off_vs_on,740008,max_sign_imag,19,25,3.0276941343919653e-06,2.9159233822630535e-06,-1.1177075212891177e-07,1
guard,V4_off_vs_on,740008,max_observable_imag,19,25,2.685119851051862e-12,2.685119851051862e-12,0.0,1
guard,V4_off_vs_on,740008,diagnostic_relative_frobenius_max,19,25,5.0894661780312794e-14,5.0894661780312794e-14,0.0,1
guard,V4_off_vs_on,740008,diagnostic_S_pi_abs_diff_max,19,25,2.914335439641036e-15,2.914335439641036e-15,0.0,1
guard,V4_off_vs_on,740008,diagnostic_R_cdw_abs_diff_max,19,25,8.43769498715119e-15,8.43769498715119e-15,0.0,1
guard,V4_off_vs_on,740008,diagnostic_sign_mismatch_count,19,25,0.0,0.0,0.0,1
guard,V4_off_vs_on,740009,S_pi,20,26,0.25864952450496925,0.25864952450496925,0.0,1
guard,V4_off_vs_on,740009,S_pi_dq,20,26,0.05031023301153995,0.05031023301153995,0.0,1
guard,V4_off_vs_on,740009,R_cdw,20,26,0.805488786001718,0.805488786001718,0.0,1
guard,V4_off_vs_on,740009,average_sign,20,26,0.14933333333333335,0.14933333333333335,0.0,1
guard,V4_off_vs_on,740009,acceptance,20,26,0.6278981666666666,0.6278981666666666,0.0,1
guard,V4_off_vs_on,740009,sign_corrections,20,26,0.0,0.0,0.0,1
guard,V4_off_vs_on,740009,max_sign_imag,20,26,4.145357967369166e-06,4.222705452959587e-06,7.734748559042122e-08,1
