task_id,campaign,L,V,theta,beta_trial,dt,delta,mu,boundary,hs_scheme,seed,burn,measurements,stabilization_interval,guard,diagnostic_stride,sign_stride,output_dir,status,exit_code,result_present,measurement_rows,S_pi,S_pi_dq,R_cdw,average_sign,acceptance,sign_corrections,max_sign_imag,max_observable_imag,diagnostic_relative_frobenius_max,diagnostic_S_pi_abs_diff_max,diagnostic_R_cdw_abs_diff_max,diagnostic_sign_mismatch_count,average_sign_err,sign_recomputes,adaptive_rebuild_count,guard_trigger_fraction,min_update_denominator,diagnostic_comparisons,average_sign_z,physics_valid
10,stability,18,4,18,8,0.1,1,0,0,0,740005,500,3000,10,0,100,20,raw/stability/task_0010_s740005,complete,,1,3000,0.3368012320087158,-0.3603686623583062,2.069974299704998,-0.005333333333333333,0.630783153292181,0,0.0004504152105607477,1.060754916597671e-09,1.3951064626517025e-12,2.502338614096544e-16,3.920419544556353e-12,0,0.022150996967781535,150,0,0,inf,30,0.24077170617153837,0
11,stability,18,4,18,8,0.1,1,0,0,0,740006,500,3000,10,0,100,20,raw/stability/task_0011_s740006,complete,,1,3000,0.04517377931490039,0.09644700561019108,-1.1350218439301232,0.01,0.6309162551440329,0,7.239470660027711e-05,2.2774987983745472e-10,3.1744217000814757e-13,1.3114509478384662e-15,1.2034817586936697e-12,0,0.02414366721661535,150,0,0,inf,30,0.414187286060592,0
12,stability,18,4,18,8,0.1,1,0,0,0,740001,500,3000,20,0,100,20,raw/stability/task_0012_s740001,complete,,1,3000,0.9075934183628451,-0.48997829088183875,1.5398654077567926,0.01,0.6308771347736626,2,0.023253574187914548,2.4657790281799735e-11,1.076466908884459e-12,5.204170427930421e-16,1.3677947663381929e-13,0,0.020534228161267598,150,0,0,inf,30,0.4869917642613108,0
13,stability,18,4,18,8,0.1,1,0,0,0,740002,500,3000,20,0,100,20,raw/stability/task_0013_s740002,complete,,1,3000,0.5157526148943324,-0.04745776021649812,1.092016518861899,-0.03,0.6308486368312757,0,0.00728509956807524,6.408156204167383e-11,3.66954915462052e-13,6.368603561179853e-16,1.4946266446713707e-11,0,0.022012755472879172,150,0,0,inf,30,1.3628461932883194,0
14,stability,18,4,18,8,0.1,1,0,0,0,740003,500,3000,20,0,100,20,raw/stability/task_0014_s740003,complete,,1,3000,-11.083138452761085,7.712698760231871,1.69589483097276,0.002,0.6305429012345679,0,0.008525190321070764,9.150947527556139e-10,2.876278987050345e-11,1.6930901125533637e-15,2.6290081223123707e-13,0,0.016285399406882374,150,0,0,inf,30,0.12280939202232767,0
15,stability,18,4,18,8,0.1,1,0,0,0,740004,500,3000,20,0,100,20,raw/stability/task_0015_s740004,complete,,1,3000,1.2535154354518814,-1.2408160015160972,1.9898689449075622,-0.0026666666666666666,0.6308472222222222,0,0.003783297003456658,1.6088633675555608e-10,5.29712145213105e-12,8.257283745649602e-16,1.7408297026122455e-13,0,0.01119634895323913,150,0,0,inf,30,0.23817287919515884,0
16,stability,18,4,18,8,0.1,1,0,0,0,740005,500,3000,20,0,100,20,raw/stability/task_0016_s740005,complete,,1,3000,0.3368012320087567,-0.36036866235800813,2.0699742997039827,-0.005333333333333333,0.630783153292181,1,0.02429407028832073,7.722157227819158e-10,1.6612830315225539e-12,4.129075553693795e-15,6.397904428467882e-11,0,0.022150996967781535,150,0,0,inf,30,0.24077170617153837,0
17,stability,18,4,18,8,0.1,1,0,0,0,740006,500,3000,20,0,100,20,raw/stability/task_0017_s740006,complete,,1,3000,0.04517377931481976,0.0964470056077038,-1.135021843878874,0.01,0.6309162551440329,1,0.005909985216195635,2.877453295980603e-10,7.655962230321924e-13,2.3377133562263452e-14,4.2732484217822275e-13,0,0.02414366721661535,150,0,0,inf,30,0.414187286060592,0
18,stability,10,4,10,8,0.1,1,0,0,0,740007,500,3000,10,0,100,20,raw/stability/task_0018_s740007,complete,,1,3000,0.15240775250119223,0.008599511725522075,0.9435756279822131,0.13733333333333334,0.6280075833333333,0,4.1249464795771545e-06,1.3326144070589629e-12,3.043565363238507e-14,3.2751579226442118e-15,9.325873406851315e-15,0,0.017574569612824758,150,0,0,inf,30,7.81432128119465,1
19,stability,10,4,10,8,0.1,1,0,0,0,740008,500,3000,10,0,100,20,raw/stability/task_0019_s740008,complete,,1,3000,0.16514629425788735,0.023549317618805764,0.8574032937001186,0.142,0.6279763333333334,0,3.0276941343919653e-06,2.685119851051862e-12,5.0894661780312794e-14,2.914335439641036e-15,8.43769498715119e-15,0,0.016817562527213184,150,0,0,inf,30,8.443554157757642,1
