campaign,L,V,theta,delta,mu,boundary,hs_scheme,stabilization_interval,guard,n,S_pi,S_pi_seed_sem,S_pi_dq,S_pi_dq_seed_sem,R_cdw,R_cdw_seed_sem,average_sign,average_sign_seed_sem,sign_corrections,diagnostic_sign_mismatch_count,max_sign_imag,max_fast_full_green_rel
gaussian_qmc,40,0,10,0.5,0,0,0,10,0,1,0.008333333328554796,nan,0.00830455208480228,nan,0.0034537492522824786,nan,1.0,nan,0.0,0.0,5.686369994015715e-14,7.136097605945737e-15
gaussian_qmc,40,0,10,0.5,0,1,0,10,0,1,0.008385416666667641,nan,0.008355743156995731,nan,0.0035387042590099282,nan,1.0,nan,0.0,0.0,2.7939381349919056e-15,6.829065153899042e-15
gaussian_qmc,40,0,10,0.5,0.7,0,0,10,0,1,0.00760938779547386,nan,0.007593693164982052,nan,0.002062535241158736,nan,1.0,nan,0.0,0.0,1.7121651689363998e-13,1.5892054922642745e-14
gaussian_qmc,40,0,10,0.5,0.7,1,0,10,0,1,0.007583012982223329,nan,0.007567983444835338,nan,0.0019820007460390476,nan,1.0,nan,0.0,0.0,1.223546529454491e-13,1.4587427349325052e-14
gaussian_qmc,40,0,10,1,0,0,0,10,0,1,0.006250000000000001,nan,0.006250000000000001,nan,0.0,nan,1.0,nan,0.0,0.0,1.3778599728022515e-16,3.715321132351446e-16
gaussian_qmc,40,0,10,1,0,1,0,10,0,1,0.006250000000000001,nan,0.006250000000000001,nan,0.0,nan,1.0,nan,0.0,0.0,1.1424000693413015e-15,3.915425448992759e-16
gaussian_qmc,40,0,10,1,0.7,0,0,10,0,1,0.005866465354773891,nan,0.005868569949531981,nan,-0.0003587500531947452,nan,1.0,nan,0.0,0.0,5.802085725219394e-14,1.138149542092057e-14
gaussian_qmc,40,0,10,1,0.7,1,0,10,0,1,0.0058161017141765865,nan,0.005818509248438979,nan,-0.0004139429433505093,nan,1.0,nan,0.0,0.0,1.1785520314005015e-13,1.2459717166961183e-14
gaussian_qmc,40,0,10,1.3,0,0,0,10,0,1,0.005434782608695638,nan,0.005444989695279857,nan,-0.0018781039314963444,nan,1.0,nan,0.0,0.0,6.067888694195119e-14,5.770446693472339e-15
gaussian_qmc,40,0,10,1.3,0,1,0,10,0,1,0.005414402173913036,nan,0.005424873081380486,nan,-0.0019338990956192514,nan,1.0,nan,0.0,0.0,3.2014522554581124e-15,6.63480811162041e-15
gaussian_qmc,40,0,10,1.3,0.7,0,0,10,0,1,0.005137146728311105,nan,0.005148440251553147,nan,-0.002198403868786114,nan,1.0,nan,0.0,0.0,1.8519948763142856e-13,1.2944711292571124e-14
gaussian_qmc,40,0,10,1.3,0.7,1,0,10,0,1,0.005072687233082023,nan,0.0050844802678630405,nan,-0.002324810152715129,nan,1.0,nan,0.0,0.0,1.3084847842492474e-13,1.2470022249424272e-14
gaussian_qmc,6,0,10,0.5,0,0,0,10,0,1,0.059523809523809534,nan,0.04877580405606819,nan,0.1805664918580545,nan,1.0,nan,0.0,0.0,2.2426462657414374e-14,2.5729320951559264e-15
gaussian_qmc,6,0,10,0.5,0,1,0,10,0,1,0.060651732842860386,nan,0.04970757676140026,nan,0.18044259526458717,nan,1.0,nan,0.0,0.0,7.3858645425239e-15,5.2592900053944355e-15
gaussian_qmc,6,0,10,0.5,0.7,0,0,10,0,1,0.051742980465012814,nan,0.04469956870246182,nan,0.13612303928478875,nan,1.0,nan,0.0,0.0,6.357191440046834e-15,8.33942989191361e-15
gaussian_qmc,6,0,10,0.5,0.7,1,0,10,0,1,0.049774010721161534,nan,0.046778176454412186,nan,0.06018872546824239,nan,1.0,nan,0.0,0.0,7.242629005635656e-15,5.851042311744545e-15
